rule_id,category,audit_item,audit_point,risk_level,content,suggestion
LEASE-001,lease,押金退还,租赁合同应明确押金退还条件、期限与扣除范围,中,"租赁合同中，出租人应在合同约定期限内退还押金；如需扣除，应明确扣除事由、金额和计算方式，不得以模糊理由长期拖延退还。","建议补充：押金应于租赁关系终止且承租人完成交接后 X 日内无息退还；如需扣除，应逐项列明扣除事由、金额及计算依据。"
LEASE-002,lease,押金扣除限制,押金扣除应与实际损失相匹配,中,"押金扣除应以实际损失为基础，避免以违约金、管理费等名义重复扣款；扣除后余额应及时返还承租人。","建议将条款调整为：押金仅可用于抵扣承租人实际损失，且应在结算清单中列明明细，余额于约定期限内返还。"
LEASE-003,lease,转租限制,转租限制条款应合法且不得无限制禁止,中,"租赁合同可约定转租限制，但通常应结合出租人同意机制设置，不宜一概禁止承租人在合理条件下转租。","建议约定：承租人转租应事先取得出租人书面同意；出租人无正当理由不得拒绝。"
LEASE-004,lease,维修责任,房屋维修责任应区分自然损耗与承租人过错,中,"房屋因自然损耗、正常使用出现的维修问题，应明确由出租人承担或按约定分担；因承租人过错造成损坏的，由承租人承担。","建议明确：自然损耗及房屋主体结构维修由出租人承担，承租人原因造成的损坏由承租人负责修复或赔偿。"
LEASE-005,lease,提前解约通知,提前解除租赁合同应设置合理通知期,低,"提前解除租赁合同应约定合理通知期和交接义务，避免一方突然解约导致损失扩大。","建议补充：任一方提前解除合同应提前 X 日书面通知对方，并完成房屋交接、费用结清与物品清点。"
LEASE-006,lease,水电物业费,租赁费用承担应列明水电物业等明细,低,"租赁合同应明确水电、物业、燃气、网络等费用的承担主体及结算周期，防止后续争议。","建议列明：各项费用承担方、抄表/结算周期、代缴规则及逾期承担责任。"
LABOR-001,labor,试用期约定,试用期长度应与合同期限相匹配,高,"劳动合同中试用期应与合同期限相匹配，不得超出法定上限；试用期长度与劳动合同期限应当对应设置。","建议按劳动合同期限重新匹配试用期期限，并确保不超过法定上限。"
LABOR-002,labor,试用期工资,试用期工资不得低于法定比例,高,"试用期工资不得低于本单位相同岗位最低档工资或劳动合同约定工资的法定比例，且不得低于当地最低工资标准。","建议将试用期工资调整为不低于法定比例及当地最低工资标准，并在合同中明确计算口径。"
LABOR-003,labor,加班补偿,加班应依法支付加班费或安排调休,高,"劳动合同及规章制度应明确加班审批和补偿方式，工作日、休息日、法定节假日加班应按照法律规定支付加班费或安排调休。","建议补充加班审批流程、加班费计算标准及调休规则，避免以固定工资一揽子覆盖。"
LABOR-004,labor,竞业限制,竞业限制应限定对象范围并支付补偿,中,"竞业限制条款应明确限制对象、期限、地域和行业范围，并约定按月支付竞业限制补偿金。","建议明确竞业限制的对象岗位、范围、期限及补偿标准，且不得超过法定期限。"
